new_ratio,ewc_lambda,t1,t2,t3,t4,t5,t6,t7,t8,t9
0.7,1.0,0.346844,0.326957,0.335947,0.335019,0.335532,0.335483,0.337193,0.338244,0.341420
0.7,10.0,0.350020,0.330279,0.338171,0.332747,0.336876,0.340467,0.344938,0.348456,0.349604
0.7,100.0,0.347234,0.334213,0.338928,0.331965,0.339539,0.340223,0.341469,0.344205,0.347259
0.7,1000.0,0.345915,0.342544,0.347161,0.341884,0.342983,0.341249,0.344767,0.346404,0.349262
0.7,10000.0,0.348090,0.347357,0.349384,0.352609,0.351388,0.353928,0.355028,0.357520,0.357300
0.7,100000.0,0.347112,0.350752,0.356445,0.359377,0.359254,0.362137,0.364507,0.364702,0.366999
0.7,1000000.0,0.341542,0.345695,0.352658,0.353684,0.358668,0.360525,0.361624,0.364776,0.366193
0.7,10000000.0,0.340760,0.345353,0.355394,0.356885,0.360745,0.362210,0.363774,0.367072,0.367072
0.7,100000000.0,0.342104,0.344914,0.351852,0.354417,0.358839,0.360378,0.363188,0.364141,0.363798
0.7,1000000000.0,0.346062,0.348822,0.359303,0.360598,0.363627,0.363872,0.366461,0.368294,0.371006
0.7,10000000000.0,0.345622,0.352805,0.361649,0.362015,0.363872,0.367243,0.367756,0.370102,0.373326
0.8,0.1,0.341127,0.337389,0.344767,0.345011,0.352365,0.353660,0.354735,0.359206,0.355345
0.8,1.0,0.346550,0.333749,0.340101,0.340565,0.340394,0.343765,0.347918,0.348358,0.353660
0.8,10.0,0.344498,0.329693,0.335508,0.331599,0.332332,0.336974,0.341420,0.343032,0.346624
0.8,100.0,0.347918,0.331794,0.341689,0.334555,0.334482,0.338073,0.341298,0.342422,0.345231
0.8,1000.0,0.342715,0.340345,0.342446,0.339172,0.340272,0.340418,0.344254,0.346526,0.349042
0.8,10000.0,0.339417,0.339197,0.346868,0.347528,0.349384,0.350166,0.351534,0.353904,0.359059
0.8,100000.0,0.352096,0.351485,0.359841,0.360769,0.361893,0.363041,0.364996,0.367976,0.367927
0.8,1000000.0,0.343985,0.350728,0.358033,0.361160,0.362601,0.365020,0.367243,0.369931,0.370322
0.8,10000000.0,0.345378,0.347210,0.358082,0.358644,0.361746,0.362968,0.366657,0.369100,0.370712
0.8,100000000.0,0.345671,0.345598,0.356958,0.358717,0.361038,0.364654,0.367805,0.368172,0.370248
0.8,1000000000.0,0.342055,0.346184,0.355907,0.358766,0.359767,0.363676,0.364238,0.367952,0.368294
0.8,10000000000.0,0.346477,0.352365,0.358888,0.362259,0.365582,0.367219,0.369149,0.372032,0.373033
0.9,0.1,0.346062,0.343961,0.352976,0.349775,0.350899,0.357300,0.356030,0.360769,0.362430
0.9,1.0,0.345549,0.341371,0.347381,0.342006,0.345231,0.346062,0.349458,0.353171,0.353244
